datasetName,uid,filesize,publish,export_filename,error_count,Created,Updated,Deleted,time_started,time_finished,current_row_count,threadID
SLA_ACTIVELICENSES,hrvs-fxs2,10676031,TRUE,C:/sterling/SLA_ACTIVELICENSES_20210129_R.csv,0,50149,0,0,2021-01-29T08:56:27.053989,2021-01-29T08:56:35.444457,0,728
NYSERDA_EVREBATE,thd2-fu8y,3585549,TRUE,C:/sterling/NYSERDA_EVREBATE_20210129_R.csv,0,34378,0,0,2021-01-29T09:30:36.686697,2021-01-29T09:30:42.614175,34378,6032
DOS_REAPPRAISERS,3nr4-s9yt,715557,TRUE,C:/sterling/DOS_REAPPRAISERS_20210129_R.TSV,0,4128,0,0,2021-01-29T12:00:35.979271,2021-01-29T12:00:41.706031,4130,3076
DOS_POLITICALCONSULTANTFILINGS,tekz-xrvb,3569473,TRUE,C:/sterling/DOS_POLITICALCONSULTANTFILINGS_20210129_R.TSV,0,8820,0,0,2021-01-29T12:00:34.031146,2021-01-29T12:00:57.613135,8820,4004
DOS_ACTIVERESALESBROKERS,yg7h-zjbf,21760109,TRUE,C:/sterling/DOS_ACTIVERESALESBROKERS_20210129_R.tsv,0,165345,0,0,2021-01-29T12:00:36.800361,2021-01-29T12:00:55.565370,80000,7796
NYSERDA_ALTFUELSTATIONS,bpkx-gmh7,810127,TRUE,C:/sterling/NYSERDA_ALTFUELSTATIONS_20210129_R.csv,0,2487,0,0,2021-01-29T15:00:43.300372,2021-01-29T15:00:50.815252,2486,1200
NYCC_LIFTBRIDGES,pe3j-9bkg,1577,TRUE,C:/sterling/NYCC_LIFTBRIDGES_20210129_R.csv,0,20,0,0,2021-01-29T16:00:33.013300,2021-01-29T16:00:39.603020,20,7140
NYCC_BOATSFORHIRE,ibtm-q4dj,15590,TRUE,C:/sterling/NYCC_BOATSFORHIRE_20210129_R.csv,0,70,0,0,2021-01-29T16:00:40.421776,2021-01-29T16:00:47.165298,70,6756
NYCC_BOATLAUNCHES,7nbx-apd3,29161,TRUE,C:/sterling/NYCC_BOATLAUNCHES_20210129_R.csv,0,144,0,0,2021-01-29T16:00:35.511460,2021-01-29T16:00:43.353126,144,4784
NYCC_GUARDGATES,daiv-97a8,1735,TRUE,C:/sterling/NYCC_GUARDGATES_20210129_R.csv,0,20,0,0,2021-01-29T16:00:48.498299,2021-01-29T16:00:54.573977,20,6612
NYCC_LOCKS,ta83-js48,7410,TRUE,C:/sterling/NYCC_LOCKS_20210129_R.csv,0,56,0,0,2021-01-29T16:00:45.574107,2021-01-29T16:00:51.182485,56,3120
NYCC_MARINASPUBLICDOCKS,6y52-j6td,17056,TRUE,C:/sterling/NYCC_MARINASPUBLICDOCKS_20210129_R.csv,0,131,0,0,2021-01-29T16:00:49.777378,2021-01-29T16:00:54.880890,131,4500
NYCC_LODGING,2xud-cuua,22738,TRUE,C:/sterling/NYCC_LODGING_20210129_R.csv,0,121,0,0,2021-01-29T16:00:51.354486,2021-01-29T16:00:57.885293,121,7608
AGM_FARMPRODUCTDEALERS,ehtk-kzxa,48460,TRUE,C:/sterling/AGM_FARMPRODUCTDEALERS_20210129_R.csv,0,389,0,0,2021-01-29T17:46:52.565352,2021-01-29T17:46:56.433706,300,800
DOS_REAPPRAISERS,3nr4-s9yt,715557,TRUE,C:/sterling/DOS_REAPPRAISERS_20210129_R.TSV,0,4128,0,0,2021-01-29T18:00:30.955019,2021-01-29T18:00:38.326412,4128,5840
